id,population_size,w,c1,c2,fitness,iterations,particles
1,10,0.1,0.5,0.5,4256.001490928391,2171,21710
1,10,0.1,0.5,0.6,4077.1388105645383,2188,21880
1,10,0.1,0.5,0.7,3268.006290058499,4487,44870
1,10,0.1,0.5,0.7999999999999999,1726.0451931389198,5487,54870
1,10,0.1,0.5,0.8999999999999999,41.00000745872979,5976,59760
1,10,0.1,0.5,0.9999999999999999,41.00063520979256,1599,15990
1,10,0.1,0.5,1.0999999999999999,41.00039268337037,1267,12670
1,10,0.1,0.5,1.1999999999999997,0.0002105965458333639,1773,17730
1,10,0.1,0.5,1.2999999999999998,0.00029197764297951074,1535,15350
1,10,0.1,0.5,1.4,41.00051220451703,1007,10070
1,10,0.1,0.5,1.4999999999999998,40.002830751303854,1188,11880
1,10,0.1,0.5,1.5999999999999996,4009.7587322922636,1366,13660
1,10,0.1,0.5,1.6999999999999997,41.0008304540822,889,8890
1,10,0.1,0.5,1.7999999999999998,4009.757760161757,1897,18970
1,10,0.1,0.5,1.8999999999999997,217.01339400366666,1705,17050
1,10,0.1,0.5,1.9999999999999996,4009.757753315008,1275,12750
1,10,0.1,0.5,2.0999999999999996,41.0,1860,18600
1,10,0.1,0.5,2.1999999999999997,5710.320846775254,1937,19370
1,10,0.1,0.5,2.3,0.0016631954389657536,1282,12820
1,10,0.1,0.5,2.3999999999999995,0.0,1182,11820
1,10,0.1,0.6,0.5,4348.783190567746,604,6040
1,10,0.1,0.6,0.6,8924.544327127693,509,5090
1,10,0.1,0.6,0.7,8440.693031637273,551,5510
1,10,0.1,0.6,0.7999999999999999,2410.9569096392734,2686,26860
1,10,0.1,0.6,0.8999999999999999,1613.5373096249982,4982,49820
1,10,0.1,0.6,0.9999999999999999,0.0011381252587193598,1463,14630
1,10,0.1,0.6,1.0999999999999999,0.0,515,5150
1,10,0.1,0.6,1.1999999999999997,0.0,538,5380
1,10,0.1,0.6,1.2999999999999998,40.00305359808358,1173,11730
1,10,0.1,0.6,1.4,0.0,477,4770
1,10,0.1,0.6,1.4999999999999998,41.00012054491588,1234,12340
1,10,0.1,0.6,1.5999999999999996,0.0,2570,25700
1,10,0.1,0.6,1.6999999999999997,4009.7587084698725,912,9120
1,10,0.1,0.6,1.7999999999999998,760.1205339457997,1886,18860
1,10,0.1,0.6,1.8999999999999997,0.0,1529,15290
